Naering,Kjonn,Alder,ContentsCode,Aar,Haugesund,Sauda,Bokn,Tysvaer,Karmoey,Utsira,Vindafjord
55-56,0,67-74,SysselsatteArb,2011,9,0,0,3,7,3,3
55-56,0,67-74,SysselsatteArb,2012,11,0,0,3,5,0,0
55-56,0,67-74,SysselsatteArb,2013,10,0,0,3,8,0,0
55-56,0,67-74,SysselsatteArb,2014,6,0,0,3,7,0,0
55-56,0,67-74,SysselsatteArb,2015,9,0,0,3,6,3,0
55-56,0,67-74,SysselsatteArb,2016,8,0,0,3,3,0,0
55-56,0,67-74,SysselsatteArb,2017,8,0,0,0,6,0,0
55-56,0,67-74,SysselsatteArb,2018,7,0,0,0,3,3,0
55-56,0,67-74,SysselsatteArb,2019,9,0,0,0,3,0,0
55-56,0,67-74,SysselsatteArb,2020,6,0,0,3,4,0,0
58-63,0,15-74,SysselsatteArb,2008,405,18,0,11,136,0,168
58-63,0,15-74,SysselsatteArb,2009,400,18,0,12,146,0,161
58-63,0,15-74,SysselsatteArb,2010,429,14,0,104,157,0,171
58-63,0,15-74,SysselsatteArb,2011,439,14,0,105,133,0,209
58-63,0,15-74,SysselsatteArb,2012,450,14,0,117,160,0,199
58-63,0,15-74,SysselsatteArb,2013,458,18,0,100,158,0,191
58-63,0,15-74,SysselsatteArb,2014,477,21,3,88,135,0,144
58-63,0,15-74,SysselsatteArb,2015,463,24,3,50,141,0,182
58-63,0,15-74,SysselsatteArb,2016,474,11,0,40,155,0,208
58-63,0,15-74,SysselsatteArb,2017,483,12,0,62,163,0,127
58-63,0,15-74,SysselsatteArb,2018,530,12,3,60,180,0,135
58-63,0,15-74,SysselsatteArb,2019,577,15,3,101,186,0,145
58-63,0,15-74,SysselsatteArb,2020,604,13,NA,115,194,0,149
58-63,0,55-66,SysselsatteArb,2008,69,3,0,0,15,0,3
58-63,0,55-66,SysselsatteArb,2009,69,3,0,3,11,0,9
58-63,0,55-66,SysselsatteArb,2010,75,0,0,20,12,0,20
58-63,0,55-66,SysselsatteArb,2011,69,0,0,18,13,0,30
58-63,0,55-66,SysselsatteArb,2012,63,0,0,23,12,0,18
58-63,0,55-66,SysselsatteArb,2013,66,0,0,21,15,0,20
58-63,0,55-66,SysselsatteArb,2014,69,3,0,21,12,0,17
58-63,0,55-66,SysselsatteArb,2015,65,3,0,6,12,0,30
58-63,0,55-66,SysselsatteArb,2016,66,0,0,6,12,0,28
58-63,0,55-66,SysselsatteArb,2017,78,3,0,16,17,0,21
58-63,0,55-66,SysselsatteArb,2018,72,3,0,17,17,0,24
58-63,0,55-66,SysselsatteArb,2019,84,3,0,26,15,0,18
58-63,0,55-66,SysselsatteArb,2020,83,0,NA,28,13,0,18
58-63,0,67-74,SysselsatteArb,2008,4,0,0,0,0,0,3
58-63,0,67-74,SysselsatteArb,2009,7,0,0,0,3,0,0
58-63,0,67-74,SysselsatteArb,2010,6,0,0,3,3,0,0
58-63,0,67-74,SysselsatteArb,2011,6,0,0,5,3,0,0
58-63,0,67-74,SysselsatteArb,2012,6,0,0,3,3,0,0
58-63,0,67-74,SysselsatteArb,2013,5,0,0,3,3,0,0
58-63,0,67-74,SysselsatteArb,2014,3,0,0,0,3,0,0
58-63,0,67-74,SysselsatteArb,2015,3,0,0,0,3,0,0
58-63,0,67-74,SysselsatteArb,2016,3,0,0,3,3,0,0
58-63,0,67-74,SysselsatteArb,2017,3,0,0,0,3,0,3
58-63,0,67-74,SysselsatteArb,2018,4,0,0,0,0,0,3
58-63,0,67-74,SysselsatteArb,2019,7,0,0,3,3,0,0
58-63,0,67-74,SysselsatteArb,2020,8,0,NA,3,0,0,0
64-66,0,15-74,SysselsatteArb,2008,286,20,0,13,117,0,20
64-66,0,15-74,SysselsatteArb,2009,281,11,0,6,110,0,25
64-66,0,15-74,SysselsatteArb,2010,260,15,0,9,114,0,19
64-66,0,15-74,SysselsatteArb,2011,244,17,0,12,99,0,15
64-66,0,15-74,SysselsatteArb,2012,234,13,0,13,100,0,16
64-66,0,15-74,SysselsatteArb,2013,219,12,0,10,97,0,16
64-66,0,15-74,SysselsatteArb,2014,219,3,0,7,81,0,16
64-66,0,15-74,SysselsatteArb,2015,220,3,0,9,75,0,17
64-66,0,15-74,SysselsatteArb,2016,202,6,0,10,77,0,12
64-66,0,15-74,SysselsatteArb,2017,193,3,0,10,72,0,17
64-66,0,15-74,SysselsatteArb,2018,178,3,0,10,67,0,15
64-66,0,15-74,SysselsatteArb,2019,172,3,0,10,64,0,16
64-66,0,15-74,SysselsatteArb,2020,166,NA,0,7,75,0,NA
64-66,0,55-66,SysselsatteArb,2008,115,3,0,3,29,0,8
64-66,0,55-66,SysselsatteArb,2009,107,3,0,0,27,0,8
64-66,0,55-66,SysselsatteArb,2010,101,6,0,0,29,0,5
64-66,0,55-66,SysselsatteArb,2011,95,6,0,3,31,0,5
64-66,0,55-66,SysselsatteArb,2012,102,3,0,3,27,0,7
64-66,0,55-66,SysselsatteArb,2013,94,3,0,3,26,0,7
64-66,0,55-66,SysselsatteArb,2014,97,0,0,3,23,0,7
64-66,0,55-66,SysselsatteArb,2015,92,0,0,3,23,0,4
64-66,0,55-66,SysselsatteArb,2016,83,0,0,3,28,0,3
64-66,0,55-66,SysselsatteArb,2017,76,0,0,3,20,0,7
64-66,0,55-66,SysselsatteArb,2018,70,0,0,3,20,0,6
64-66,0,55-66,SysselsatteArb,2019,60,0,0,3,18,0,3
64-66,0,55-66,SysselsatteArb,2020,56,NA,0,0,17,0,NA
64-66,0,67-74,SysselsatteArb,2008,6,3,0,0,3,0,0
64-66,0,67-74,SysselsatteArb,2009,3,0,0,0,0,0,0
64-66,0,67-74,SysselsatteArb,2010,3,0,0,0,0,0,0
64-66,0,67-74,SysselsatteArb,2011,3,0,0,0,3,0,0
64-66,0,67-74,SysselsatteArb,2012,3,0,0,0,0,0,0
64-66,0,67-74,SysselsatteArb,2013,3,0,0,0,0,0,0
64-66,0,67-74,SysselsatteArb,2014,0,0,0,0,0,0,0
64-66,0,67-74,SysselsatteArb,2015,0,0,0,0,0,0,0
64-66,0,67-74,SysselsatteArb,2016,7,0,0,0,0,0,0
64-66,0,67-74,SysselsatteArb,2017,8,0,0,0,0,0,0
64-66,0,67-74,SysselsatteArb,2018,5,0,0,0,0,0,0
64-66,0,67-74,SysselsatteArb,2019,0,0,0,0,0,0,3
64-66,0,67-74,SysselsatteArb,2020,3,NA,0,0,3,0,NA
68-75,0,15-74,SysselsatteArb,2008,995,31,3,63,420,0,117
68-75,0,15-74,SysselsatteArb,2009,1028,30,3,62,415,3,125
68-75,0,15-74,SysselsatteArb,2010,1207,35,6,76,416,3,122
68-75,0,15-74,SysselsatteArb,2011,1239,30,3,69,432,0,107
68-75,0,15-74,SysselsatteArb,2012,1284,28,3,72,414,3,119
68-75,0,15-74,SysselsatteArb,2013,1372,32,0,86,444,3,126
68-75,0,15-74,SysselsatteArb,2014,1391,37,0,96,495,0,210
68-75,0,15-74,SysselsatteArb,2015,1384,31,0,84,473,0,172
68-75,0,15-74,SysselsatteArb,2016,1332,31,3,151,448,3,136
68-75,0,15-74,SysselsatteArb,2017,1369,24,3,136,461,0,182
68-75,0,15-74,SysselsatteArb,2018,1202,28,0,169,462,0,187
68-75,0,15-74,SysselsatteArb,2019,1173,29,0,177,480,0,209
68-75,0,15-74,SysselsatteArb,2020,1098,33,NA,153,487,NA,216
68-75,0,55-66,SysselsatteArb,2008,202,8,0,9,78,0,15
68-75,0,55-66,SysselsatteArb,2009,205,10,0,9,92,3,19
68-75,0,55-66,SysselsatteArb,2010,237,13,0,12,102,3,23
68-75,0,55-66,SysselsatteArb,2011,251,13,0,16,96,0,22
68-75,0,55-66,SysselsatteArb,2012,255,8,0,20,86,3,20
68-75,0,55-66,SysselsatteArb,2013,262,6,0,23,113,0,20
68-75,0,55-66,SysselsatteArb,2014,250,13,0,26,118,0,28
68-75,0,55-66,SysselsatteArb,2015,252,6,0,23,113,0,32
68-75,0,55-66,SysselsatteArb,2016,236,6,0,29,106,3,26
68-75,0,55-66,SysselsatteArb,2017,236,4,0,31,109,0,31
68-75,0,55-66,SysselsatteArb,2018,217,5,0,35,96,0,34
68-75,0,55-66,SysselsatteArb,2019,211,4,0,32,98,0,37
68-75,0,55-66,SysselsatteArb,2020,204,8,NA,28,89,NA,41
68-75,0,67-74,SysselsatteArb,2008,11,3,0,3,10,0,8
68-75,0,67-74,SysselsatteArb,2009,19,3,0,4,17,0,6
68-75,0,67-74,SysselsatteArb,2010,21,3,0,3,16,0,9
68-75,0,67-74,SysselsatteArb,2011,31,4,0,0,21,0,3
68-75,0,67-74,SysselsatteArb,2012,34,3,0,3,25,0,5
68-75,0,67-74,SysselsatteArb,2013,46,4,0,4,29,0,5
68-75,0,67-74,SysselsatteArb,2014,49,5,0,6,35,0,9
68-75,0,67-74,SysselsatteArb,2015,33,3,0,6,29,0,3
68-75,0,67-74,SysselsatteArb,2016,45,3,0,10,31,0,11
68-75,0,67-74,SysselsatteArb,2017,59,3,0,9,35,0,5
68-75,0,67-74,SysselsatteArb,2018,61,3,0,8,39,0,5
68-75,0,67-74,SysselsatteArb,2019,65,3,0,11,43,0,9
68-75,0,67-74,SysselsatteArb,2020,49,3,NA,7,47,NA,7
77-82,0,15-74,SysselsatteArb,2008,1029,89,9,31,514,11,180
77-82,0,15-74,SysselsatteArb,2009,867,75,6,34,445,12,175
77-82,0,15-74,SysselsatteArb,2010,823,77,6,32,472,3,187
77-82,0,15-74,SysselsatteArb,2011,886,76,3,70,563,17,225
77-82,0,15-74,SysselsatteArb,2012,924,84,3,85,671,14,282
77-82,0,15-74,SysselsatteArb,2013,890,75,6,138,628,13,274
77-82,0,15-74,SysselsatteArb,2014,915,97,3,167,616,9,324
77-82,0,15-74,SysselsatteArb,2015,678,63,9,169,586,6,162
77-82,0,15-74,SysselsatteArb,2016,613,61,6,152,727,3,170
77-82,0,15-74,SysselsatteArb,2017,752,65,6,169,810,6,168
77-82,0,15-74,SysselsatteArb,2018,647,68,6,180,892,6,160
77-82,0,15-74,SysselsatteArb,2019,765,67,3,180,861,6,157
77-82,0,15-74,SysselsatteArb,2020,717,64,NA,202,883,3,163
77-82,0,55-66,SysselsatteArb,2008,124,15,3,8,102,0,35
77-82,0,55-66,SysselsatteArb,2009,120,7,3,15,93,0,27
77-82,0,55-66,SysselsatteArb,2010,124,8,6,9,94,0,35
77-82,0,55-66,SysselsatteArb,2011,133,4,3,16,109,0,32
77-82,0,55-66,SysselsatteArb,2012,135,6,3,12,120,4,39
77-82,0,55-66,SysselsatteArb,2013,121,9,3,27,116,3,40
77-82,0,55-66,SysselsatteArb,2014,118,13,0,33,136,0,55
77-82,0,55-66,SysselsatteArb,2015,107,10,0,33,125,0,37
77-82,0,55-66,SysselsatteArb,2016,102,9,0,27,136,3,40
77-82,0,55-66,SysselsatteArb,2017,115,10,0,27,153,3,41
77-82,0,55-66,SysselsatteArb,2018,103,12,0,36,163,0,44
77-82,0,55-66,SysselsatteArb,2019,113,12,0,37,153,3,41
77-82,0,55-66,SysselsatteArb,2020,105,9,NA,44,150,0,47
77-82,0,67-74,SysselsatteArb,2008,13,3,0,3,12,0,6
77-82,0,67-74,SysselsatteArb,2009,12,6,0,0,11,0,3
77-82,0,67-74,SysselsatteArb,2010,10,0,0,0,7,0,0
77-82,0,67-74,SysselsatteArb,2011,4,3,0,0,10,3,6
77-82,0,67-74,SysselsatteArb,2012,12,0,0,3,20,0,3
77-82,0,67-74,SysselsatteArb,2013,12,0,0,3,19,0,7
77-82,0,67-74,SysselsatteArb,2014,14,0,0,6,10,0,3
77-82,0,67-74,SysselsatteArb,2015,12,3,0,3,7,0,3
77-82,0,67-74,SysselsatteArb,2016,8,0,3,3,11,0,3
77-82,0,67-74,SysselsatteArb,2017,4,0,0,3,12,0,6
77-82,0,67-74,SysselsatteArb,2018,10,0,0,0,12,0,3
77-82,0,67-74,SysselsatteArb,2019,13,0,0,0,13,0,4
77-82,0,67-74,SysselsatteArb,2020,13,3,NA,0,10,0,8
84,0,15-74,SysselsatteArb,2008,927,83,14,143,394,10,158
84,0,15-74,SysselsatteArb,2009,968,94,15,153,367,6,151
84,0,15-74,SysselsatteArb,2010,1022,95,14,145,379,13,166
84,0,15-74,SysselsatteArb,2011,1020,105,21,163,390,7,177
84,0,15-74,SysselsatteArb,2012,1068,95,16,165,448,9,181
84,0,15-74,SysselsatteArb,2013,1094,93,18,160,466,6,186
84,0,15-74,SysselsatteArb,2014,1152,89,17,164,474,9,196
84,0,15-74,SysselsatteArb,2015,1080,89,15,134,427,9,184
84,0,15-74,SysselsatteArb,2016,1121,96,13,142,476,6,187
84,0,15-74,SysselsatteArb,2017,1114,94,16,134,469,6,184
84,0,15-74,SysselsatteArb,2018,1122,88,12,139,437,6,188
84,0,15-74,SysselsatteArb,2019,1276,86,21,129,476,6,194
84,0,15-74,SysselsatteArb,2020,1157,97,18,143,481,6,177
84,0,55-66,SysselsatteArb,2008,216,18,4,42,84,3,49
84,0,55-66,SysselsatteArb,2009,200,24,4,38,81,0,44
84,0,55-66,SysselsatteArb,2010,205,20,6,39,89,3,43
84,0,55-66,SysselsatteArb,2011,211,20,10,38,94,3,46
84,0,55-66,SysselsatteArb,2012,214,20,8,40,94,3,43
84,0,55-66,SysselsatteArb,2013,226,24,8,40,107,3,42
84,0,55-66,SysselsatteArb,2014,239,25,6,38,102,0,40
84,0,55-66,SysselsatteArb,2015,246,21,7,36,98,3,36
84,0,55-66,SysselsatteArb,2016,254,20,6,31,96,3,32
84,0,55-66,SysselsatteArb,2017,235,20,6,29,94,3,28
84,0,55-66,SysselsatteArb,2018,230,15,3,33,84,3,27
84,0,55-66,SysselsatteArb,2019,247,16,6,36,92,0,37
84,0,55-66,SysselsatteArb,2020,232,20,6,32,95,3,33
84,0,67-74,SysselsatteArb,2008,12,0,0,3,3,0,3
84,0,67-74,SysselsatteArb,2009,6,0,0,3,6,0,6
84,0,67-74,SysselsatteArb,2010,26,0,0,3,4,0,3
84,0,67-74,SysselsatteArb,2011,27,0,3,7,10,0,6
84,0,67-74,SysselsatteArb,2012,27,0,0,6,3,0,3
84,0,67-74,SysselsatteArb,2013,20,0,3,3,3,0,8
84,0,67-74,SysselsatteArb,2014,18,0,0,3,10,3,6
84,0,67-74,SysselsatteArb,2015,10,3,0,4,9,0,3
84,0,67-74,SysselsatteArb,2016,18,3,0,6,8,0,3
84,0,67-74,SysselsatteArb,2017,14,0,0,5,8,0,5
84,0,67-74,SysselsatteArb,2018,15,0,0,3,5,0,4
84,0,67-74,SysselsatteArb,2019,14,3,3,0,6,3,6
84,0,67-74,SysselsatteArb,2020,13,0,0,0,7,0,7
85,0,15-74,SysselsatteArb,2008,1422,209,32,353,1203,10,349
85,0,15-74,SysselsatteArb,2009,1535,224,39,386,1244,9,330
85,0,15-74,SysselsatteArb,2010,1632,232,42,387,1199,9,349
85,0,15-74,SysselsatteArb,2011,1637,231,45,392,1154,12,353
85,0,15-74,SysselsatteArb,2012,1721,222,33,406,1162,11,356
85,0,15-74,SysselsatteArb,2013,1709,214,33,353,1197,12,369
85,0,15-74,SysselsatteArb,2014,1733,225,35,353,1244,13,370
85,0,15-74,SysselsatteArb,2015,1680,216,28,342,1197,10,377
85,0,15-74,SysselsatteArb,2016,1764,221,34,338,1213,9,372
85,0,15-74,SysselsatteArb,2017,1771,201,29,342,1257,13,378
85,0,15-74,SysselsatteArb,2018,1743,209,26,348,1294,17,386
85,0,15-74,SysselsatteArb,2019,1716,208,26,340,1318,12,370
85,0,15-74,SysselsatteArb,2020,1720,215,23,345,1333,NA,385
85,0,55-66,SysselsatteArb,2008,369,59,7,87,282,3,98
85,0,55-66,SysselsatteArb,2009,382,57,9,92,298,3,94
85,0,55-66,SysselsatteArb,2010,404,57,5,97,280,3,92
85,0,55-66,SysselsatteArb,2011,406,64,5,101,278,3,88
85,0,55-66,SysselsatteArb,2012,425,66,9,102,288,3,92
85,0,55-66,SysselsatteArb,2013,406,59,9,88,277,6,94
85,0,55-66,SysselsatteArb,2014,418,68,10,80,296,7,88
85,0,55-66,SysselsatteArb,2015,404,64,7,85,273,4,87
85,0,55-66,SysselsatteArb,2016,425,63,6,89,271,6,84
85,0,55-66,SysselsatteArb,2017,413,61,6,84,258,4,77
85,0,55-66,SysselsatteArb,2018,397,59,8,84,251,7,81
85,0,55-66,SysselsatteArb,2019,380,54,5,77,254,5,82
85,0,55-66,SysselsatteArb,2020,376,52,5,82,241,NA,91
85,0,67-74,SysselsatteArb,2008,38,0,0,3,14,0,4
85,0,67-74,SysselsatteArb,2009,41,8,0,6,11,0,4
85,0,67-74,SysselsatteArb,2010,44,9,0,3,17,0,4
85,0,67-74,SysselsatteArb,2011,44,3,0,8,16,0,3
85,0,67-74,SysselsatteArb,2012,48,3,0,7,22,0,6
85,0,67-74,SysselsatteArb,2013,57,0,0,7,19,0,3
85,0,67-74,SysselsatteArb,2014,71,0,0,10,25,0,7
85,0,67-74,SysselsatteArb,2015,38,0,0,11,15,0,5
85,0,67-74,SysselsatteArb,2016,39,3,0,7,17,0,5
85,0,67-74,SysselsatteArb,2017,41,0,0,5,17,3,8
85,0,67-74,SysselsatteArb,2018,44,3,0,3,19,0,6
85,0,67-74,SysselsatteArb,2019,46,3,0,4,19,0,8
85,0,67-74,SysselsatteArb,2020,41,3,0,0,13,NA,3
86-88,0,15-74,SysselsatteArb,2008,4812,522,74,833,2771,21,563
86-88,0,15-74,SysselsatteArb,2009,4865,544,77,831,2885,24,577
86-88,0,15-74,SysselsatteArb,2010,4952,546,84,810,2807,24,575
86-88,0,15-74,SysselsatteArb,2011,5133,518,73,827,2950,24,599
86-88,0,15-74,SysselsatteArb,2012,5040,474,97,818,2929,23,636
86-88,0,15-74,SysselsatteArb,2013,5057,469,99,806,3002,21,662
86-88,0,15-74,SysselsatteArb,2014,5096,510,100,842,3162,22,693
86-88,0,15-74,SysselsatteArb,2015,5395,470,85,858,3151,23,694
86-88,0,15-74,SysselsatteArb,2016,5416,470,76,802,3167,27,706
86-88,0,15-74,SysselsatteArb,2017,5513,480,80,834,3197,24,704
86-88,0,15-74,SysselsatteArb,2018,5567,452,76,834,3297,20,740
86-88,0,15-74,SysselsatteArb,2019,5608,466,91,843,3280,20,742
86-88,0,15-74,SysselsatteArb,2020,5713,473,82,844,3208,NA,730
86-88,0,55-66,SysselsatteArb,2008,855,96,17,110,462,5,80
86-88,0,55-66,SysselsatteArb,2009,887,96,20,121,489,7,100
86-88,0,55-66,SysselsatteArb,2010,946,101,20,115,494,4,93
86-88,0,55-66,SysselsatteArb,2011,990,106,15,127,510,7,110
86-88,0,55-66,SysselsatteArb,2012,1038,102,18,122,521,8,121
86-88,0,55-66,SysselsatteArb,2013,1097,101,15,130,538,7,123
86-88,0,55-66,SysselsatteArb,2014,1110,108,16,138,540,3,140
86-88,0,55-66,SysselsatteArb,2015,1158,107,16,140,520,0,146
86-88,0,55-66,SysselsatteArb,2016,1144,107,14,143,532,6,137
86-88,0,55-66,SysselsatteArb,2017,1156,112,11,150,543,5,146
86-88,0,55-66,SysselsatteArb,2018,1131,107,10,141,551,5,142
86-88,0,55-66,SysselsatteArb,2019,1117,111,14,147,556,7,147
86-88,0,55-66,SysselsatteArb,2020,1137,104,8,142,548,NA,157
86-88,0,67-74,SysselsatteArb,2008,87,17,0,15,21,0,7
86-88,0,67-74,SysselsatteArb,2009,95,13,0,14,27,0,11
86-88,0,67-74,SysselsatteArb,2010,76,13,3,17,17,3,9
86-88,0,67-74,SysselsatteArb,2011,87,12,0,18,27,0,7
86-88,0,67-74,SysselsatteArb,2012,85,8,0,18,21,0,8
86-88,0,67-74,SysselsatteArb,2013,87,9,3,20,36,0,17
86-88,0,67-74,SysselsatteArb,2014,75,12,3,24,44,0,18
86-88,0,67-74,SysselsatteArb,2015,113,7,0,20,56,3,17
86-88,0,67-74,SysselsatteArb,2016,120,13,0,13,58,3,19
86-88,0,67-74,SysselsatteArb,2017,125,9,4,14,51,3,17
86-88,0,67-74,SysselsatteArb,2018,131,6,3,13,58,3,21
86-88,0,67-74,SysselsatteArb,2019,128,5,3,11,63,0,12
86-88,0,67-74,SysselsatteArb,2020,130,5,4,8,57,NA,9
90-99,0,15-74,SysselsatteArb,2008,675,46,3,85,371,3,49
90-99,0,15-74,SysselsatteArb,2009,627,75,3,84,404,3,51
90-99,0,15-74,SysselsatteArb,2010,628,52,3,93,372,0,49
90-99,0,15-74,SysselsatteArb,2011,636,56,3,91,384,3,46
90-99,0,15-74,SysselsatteArb,2012,630,65,6,97,370,3,46
90-99,0,15-74,SysselsatteArb,2013,650,69,6,100,371,3,50
90-99,0,15-74,SysselsatteArb,2014,646,37,6,102,356,6,56
90-99,0,15-74,SysselsatteArb,2015,658,43,6,96,416,3,61
90-99,0,15-74,SysselsatteArb,2016,683,46,3,105,437,3,59
90-99,0,15-74,SysselsatteArb,2017,740,46,3,108,426,6,58
90-99,0,15-74,SysselsatteArb,2018,716,55,6,108,403,3,59
90-99,0,15-74,SysselsatteArb,2019,703,55,9,129,409,3,55
90-99,0,15-74,SysselsatteArb,2020,713,53,3,111,407,3,50
90-99,0,55-66,SysselsatteArb,2008,93,11,0,14,61,0,9
90-99,0,55-66,SysselsatteArb,2009,92,10,3,14,67,3,7
90-99,0,55-66,SysselsatteArb,2010,83,13,3,15,53,0,13
90-99,0,55-66,SysselsatteArb,2011,87,12,3,16,58,3,13
90-99,0,55-66,SysselsatteArb,2012,96,10,3,16,66,3,16
90-99,0,55-66,SysselsatteArb,2013,100,13,3,16,68,0,18
90-99,0,55-66,SysselsatteArb,2014,98,12,3,19,61,0,18
90-99,0,55-66,SysselsatteArb,2015,91,13,3,11,69,0,21
90-99,0,55-66,SysselsatteArb,2016,111,11,0,13,72,0,22
90-99,0,55-66,SysselsatteArb,2017,110,12,0,14,67,0,23
90-99,0,55-66,SysselsatteArb,2018,107,12,3,16,59,3,22
90-99,0,55-66,SysselsatteArb,2019,106,13,0,27,62,0,20
90-99,0,55-66,SysselsatteArb,2020,113,12,0,24,70,0,16
90-99,0,67-74,SysselsatteArb,2008,19,3,0,3,7,0,3
90-99,0,67-74,SysselsatteArb,2009,20,3,0,3,12,0,3
90-99,0,67-74,SysselsatteArb,2010,16,3,0,6,14,0,3
90-99,0,67-74,SysselsatteArb,2011,16,3,0,3,12,0,4
90-99,0,67-74,SysselsatteArb,2012,18,4,0,4,8,0,3
90-99,0,67-74,SysselsatteArb,2013,19,6,3,7,14,0,3
90-99,0,67-74,SysselsatteArb,2014,22,3,0,9,19,3,3
90-99,0,67-74,SysselsatteArb,2015,18,3,0,5,20,0,3
90-99,0,67-74,SysselsatteArb,2016,18,3,0,3,16,0,4
90-99,0,67-74,SysselsatteArb,2017,26,0,0,3,15,0,0
90-99,0,67-74,SysselsatteArb,2018,26,3,0,6,22,0,3
90-99,0,67-74,SysselsatteArb,2019,30,4,6,12,20,0,3
90-99,0,67-74,SysselsatteArb,2020,25,4,0,3,17,0,3
00,0,15-74,SysselsatteArb,2008,74,10,3,19,97,0,20
00,0,15-74,SysselsatteArb,2009,82,9,0,22,94,0,17
00,0,15-74,SysselsatteArb,2010,93,18,3,28,101,0,32
00,0,15-74,SysselsatteArb,2011,80,12,3,24,88,0,19
00,0,15-74,SysselsatteArb,2012,81,11,6,27,95,0,17
00,0,15-74,SysselsatteArb,2013,76,11,3,22,103,0,20
00,0,15-74,SysselsatteArb,2014,75,10,6,23,96,0,16
00,0,15-74,SysselsatteArb,2015,126,28,3,64,165,3,44
00,0,15-74,SysselsatteArb,2016,123,21,6,56,165,3,43
00,0,15-74,SysselsatteArb,2017,124,23,3,47,158,3,40
00,0,15-74,SysselsatteArb,2018,114,16,3,41,139,0,38
00,0,15-74,SysselsatteArb,2019,100,15,3,38,129,3,35
00,0,15-74,SysselsatteArb,2020,90,NA,3,33,107,NA,31
00,0,55-66,SysselsatteArb,2008,21,7,0,3,31,0,7
00,0,55-66,SysselsatteArb,2009,19,6,0,4,31,0,6
00,0,55-66,SysselsatteArb,2010,20,9,0,9,35,0,10
00,0,55-66,SysselsatteArb,2011,21,5,0,7,30,0,4
00,0,55-66,SysselsatteArb,2012,24,5,0,5,31,0,6
00,0,55-66,SysselsatteArb,2013,19,8,0,9,37,0,6
00,0,55-66,SysselsatteArb,2014,19,4,0,9,31,0,6
00,0,55-66,SysselsatteArb,2015,39,7,3,25,52,3,13
00,0,55-66,SysselsatteArb,2016,36,8,0,19,42,3,12
00,0,55-66,SysselsatteArb,2017,31,4,0,18,45,0,10
00,0,55-66,SysselsatteArb,2018,32,7,0,20,36,0,4
00,0,55-66,SysselsatteArb,2019,27,6,0,16,35,0,10
00,0,55-66,SysselsatteArb,2020,18,NA,0,12,34,NA,13
00,0,67-74,SysselsatteArb,2008,11,0,0,0,8,0,3
00,0,67-74,SysselsatteArb,2009,12,0,0,3,8,0,0
00,0,67-74,SysselsatteArb,2010,10,3,0,0,10,0,6
00,0,67-74,SysselsatteArb,2011,8,0,0,3,8,0,0
00,0,67-74,SysselsatteArb,2012,0,3,3,6,14,0,0
00,0,67-74,SysselsatteArb,2013,9,0,0,6,12,0,0
00,0,67-74,SysselsatteArb,2014,10,3,3,3,11,0,0
00,0,67-74,SysselsatteArb,2015,22,8,0,11,34,0,9
00,0,67-74,SysselsatteArb,2016,21,6,3,11,49,0,10
00,0,67-74,SysselsatteArb,2017,27,9,0,14,44,0,11
00,0,67-74,SysselsatteArb,2018,21,6,0,9,42,0,16
00,0,67-74,SysselsatteArb,2019,20,3,0,10,40,0,15
00,0,67-74,SysselsatteArb,2020,26,NA,0,8,29,NA,10
