Knr,Kjonn,Alder,ContentsCode,Aar,Alle naeringer,"Jordbruk, skogbruk og fiske",Bergverksdrift og utvinning,Industri,"Elektrisitet, vann og renevasjon",Bygge- og anleggsvirksomhet,"Varehandel, reparasjon av motorvogner",Transport og lagring,Overnattings- og serveringsvriksomhet,Informasjon og kommunikasjon,Finansiering og forsikring ,"Teknisk tjenesteyting, eiendosmdrift",Forretningsmessig tjenesteyting,"Off.adm., forsvar, sosialforsikring",Undervisning,Helse- og sosialtjenester,Personlig tjenesteyting,Uoppgitt
4614,0,15-74,Sysselsatte,2014,9686,85,235,2304,150,611,1102,361,385,155,52,541,392,381,813,1885,197,37
4614,0,15-74,Sysselsatte,2015,9312,79,212,2131,148,640,1027,348,319,126,60,466,338,380,802,1944,208,84
4614,0,15-74,Sysselsatte,2016,9136,96,196,1857,156,649,1037,339,307,119,49,491,308,380,850,2036,194,72
4614,0,15-74,Sysselsatte,2017,9306,119,196,1866,152,688,1000,345,355,142,48,503,348,387,834,2055,211,57
4614,0,15-74,Sysselsatte,2018,9367,121,202,1889,147,703,996,353,334,125,44,523,379,395,818,2085,207,46
4614,0,15-74,Sysselsatte,2019,9461,124,223,1902,162,722,997,355,363,179,38,480,419,344,809,2066,224,54
4614,0,55-66,Sysselsatte,2008,1586,18,22,357,27,55,120,72,20,29,16,98,41,103,232,339,28,9
4614,0,55-66,Sysselsatte,2009,1582,20,20,359,34,63,114,72,22,30,19,122,41,76,227,326,30,7
4614,0,55-66,Sysselsatte,2010,1585,19,35,340,38,57,125,71,18,33,21,114,39,79,222,331,29,14
4614,0,55-66,Sysselsatte,2011,1653,19,34,351,41,65,110,74,16,37,17,127,51,80,230,346,41,14
4614,0,55-66,Sysselsatte,2012,1709,18,34,382,42,82,112,75,18,39,18,130,53,77,219,356,39,15
4614,0,55-66,Sysselsatte,2013,1725,14,42,407,36,79,111,83,21,39,17,130,41,80,228,347,38,12
4614,0,55-66,Sysselsatte,2014,1746,12,42,437,37,72,121,83,22,41,16,123,42,76,225,345,39,13
4614,0,55-66,Sysselsatte,2015,1708,17,37,413,35,79,111,79,22,33,19,100,43,73,220,364,38,25
4614,0,55-66,Sysselsatte,2016,1660,17,39,389,36,78,118,79,18,29,20,99,26,74,220,364,34,20
4614,0,55-66,Sysselsatte,2017,1724,15,38,417,36,91,120,84,26,32,17,100,47,73,208,368,36,16
4614,0,55-66,Sysselsatte,2018,1749,18,42,446,36,89,115,81,24,35,15,111,48,67,196,363,48,15
4614,0,55-66,Sysselsatte,2019,1802,18,48,480,37,90,118,80,25,52,15,102,55,69,182,367,51,13
4614,0,67-74,Sysselsatte,2008,136,13,0,11,3,7,13,9,4,0,0,16,3,4,19,31,3,0
4614,0,67-74,Sysselsatte,2009,157,12,0,20,0,6,15,8,3,3,0,17,6,3,14,41,3,6
4614,0,67-74,Sysselsatte,2010,156,8,3,8,3,5,11,13,6,3,0,16,4,3,16,45,6,6
4614,0,67-74,Sysselsatte,2011,179,6,3,10,3,10,13,11,4,3,0,16,6,6,17,57,11,3
4614,0,67-74,Sysselsatte,2012,179,13,0,17,0,5,16,12,3,4,3,18,9,8,16,48,7,0
4614,0,67-74,Sysselsatte,2013,199,14,0,23,0,7,17,10,6,6,0,23,9,12,14,42,10,6
4614,0,67-74,Sysselsatte,2014,202,15,3,22,0,8,14,13,3,5,0,24,6,11,18,37,14,9
4614,0,67-74,Sysselsatte,2015,180,10,0,19,0,4,13,11,3,3,0,21,5,14,10,34,8,25
4614,0,67-74,Sysselsatte,2016,202,11,0,15,0,6,11,7,7,3,0,27,4,17,16,50,8,20
4614,0,67-74,Sysselsatte,2017,205,13,0,16,3,9,12,13,3,5,0,26,5,10,13,49,11,17
4614,0,67-74,Sysselsatte,2018,210,11,0,14,3,8,15,16,3,5,0,29,9,10,11,52,10,14
4614,0,67-74,Sysselsatte,2019,222,10,0,19,3,11,15,15,4,7,0,31,10,8,18,47,12,12
4615,0,15-74,Sysselsatte,2008,1533,56,24,287,32,183,176,89,57,9,6,95,44,61,118,260,26,10
4615,0,15-74,Sysselsatte,2009,1518,70,31,287,29,171,168,82,44,12,6,96,40,56,118,280,21,7
4615,0,15-74,Sysselsatte,2010,1529,74,37,264,28,170,176,86,41,14,6,90,47,46,131,278,29,12
4615,0,15-74,Sysselsatte,2011,1544,76,37,263,28,174,169,86,45,11,9,94,45,56,123,282,32,14
4615,0,15-74,Sysselsatte,2012,1562,74,43,266,31,178,166,91,39,14,9,102,46,48,113,296,37,9
4615,0,15-74,Sysselsatte,2013,1600,71,55,276,32,168,173,91,42,14,9,117,52,46,119,295,34,6
4615,0,15-74,Sysselsatte,2014,1625,74,57,283,29,185,160,106,42,15,9,117,53,52,115,291,31,6
4615,0,15-74,Sysselsatte,2015,1575,82,53,288,26,198,153,98,32,12,6,99,32,49,117,277,35,18
4615,0,15-74,Sysselsatte,2016,1596,89,48,266,28,212,159,92,43,11,9,96,35,54,113,291,34,16
4615,0,15-74,Sysselsatte,2017,1574,100,47,277,32,207,145,84,33,16,6,90,37,46,107,308,27,12
4615,0,15-74,Sysselsatte,2018,1571,104,50,289,31,190,135,83,36,17,9,92,34,47,110,308,27,9
4615,0,15-74,Sysselsatte,2019,1592,112,57,270,29,185,141,95,36,21,7,93,47,37,109,318,23,12
4615,0,55-66,Sysselsatte,2008,302,17,0,49,11,36,17,11,7,3,3,17,12,20,33,56,6,4
4615,0,55-66,Sysselsatte,2009,306,15,3,48,9,38,20,9,3,0,0,22,8,18,37,66,6,4
4615,0,55-66,Sysselsatte,2010,319,16,4,52,12,35,24,7,5,3,0,21,7,17,37,68,8,3
4615,0,55-66,Sysselsatte,2011,319,9,4,49,9,40,21,10,6,3,3,19,11,16,37,73,6,3
4615,0,55-66,Sysselsatte,2012,356,14,7,60,12,47,23,14,3,3,3,21,12,13,37,78,9,0
4615,0,55-66,Sysselsatte,2013,359,15,12,59,11,41,26,13,3,3,3,27,16,14,38,71,7,0
4615,0,55-66,Sysselsatte,2014,376,13,13,69,8,39,25,17,3,3,3,27,11,12,42,79,6,6
4615,0,55-66,Sysselsatte,2015,366,13,9,70,9,37,21,16,0,3,3,25,8,14,41,81,7,9
4615,0,55-66,Sysselsatte,2016,352,14,9,65,13,39,19,16,0,0,3,24,7,17,40,78,4,4
4615,0,55-66,Sysselsatte,2017,349,18,13,67,10,33,15,17,3,0,3,22,10,15,32,88,0,3
4615,0,55-66,Sysselsatte,2018,352,20,12,70,8,32,16,19,3,0,3,24,11,15,31,82,3,3
4615,0,55-66,Sysselsatte,2019,354,17,13,74,7,35,21,15,7,3,0,22,12,14,28,77,3,6
4615,0,67-74,Sysselsatte,2008,26,3,0,4,0,6,3,4,0,0,0,0,0,3,0,0,0,3
4615,0,67-74,Sysselsatte,2009,30,4,0,3,3,5,6,6,0,0,0,0,0,0,0,3,0,0
4615,0,67-74,Sysselsatte,2010,30,3,0,3,0,4,3,5,0,0,0,0,0,3,3,3,0,3
4615,0,67-74,Sysselsatte,2011,35,6,0,5,0,3,3,3,3,0,0,3,0,0,0,3,3,3
4615,0,67-74,Sysselsatte,2012,31,5,0,7,0,0,3,0,3,0,0,4,0,0,0,3,3,3
4615,0,67-74,Sysselsatte,2013,38,6,0,6,3,3,3,0,0,0,0,5,0,0,3,3,3,3
4615,0,67-74,Sysselsatte,2014,51,10,0,9,3,5,3,3,0,0,0,5,3,3,4,0,3,0
4615,0,67-74,Sysselsatte,2015,53,10,0,12,3,10,3,3,0,0,0,3,0,0,0,3,3,3
4615,0,67-74,Sysselsatte,2016,51,8,0,8,0,8,3,0,0,0,0,4,0,3,0,5,6,6
4615,0,67-74,Sysselsatte,2017,58,9,0,7,3,5,3,0,0,0,0,9,0,3,4,6,3,6
4615,0,67-74,Sysselsatte,2018,41,8,0,6,3,5,3,0,0,0,0,4,0,0,4,5,0,3
4615,0,67-74,Sysselsatte,2019,60,11,0,5,5,5,7,3,0,3,0,4,3,0,3,8,0,3
4616,0,15-74,Sysselsatte,2008,1414,133,89,165,19,111,149,136,18,20,21,30,35,57,104,288,30,9
4616,0,15-74,Sysselsatte,2009,1394,125,89,165,20,109,146,127,17,19,21,31,34,65,110,281,26,9
4616,0,15-74,Sysselsatte,2010,1362,126,93,145,18,113,142,121,19,23,17,31,31,61,105,281,27,9
4616,0,15-74,Sysselsatte,2011,1360,129,88,154,23,121,130,119,12,23,16,28,32,56,100,300,23,6
4616,0,15-74,Sysselsatte,2012,1334,116,89,150,21,118,129,118,9,15,19,32,36,60,97,291,25,9
4616,0,15-74,Sysselsatte,2013,1337,119,88,136,24,128,120,122,12,15,21,39,35,62,91,288,28,9
4616,0,15-74,Sysselsatte,2014,1347,122,90,154,23,129,128,119,12,20,20,35,36,59,94,273,24,9
4616,0,15-74,Sysselsatte,2015,1343,135,81,139,22,137,117,106,15,18,22,41,42,55,93,278,26,16
4616,0,15-74,Sysselsatte,2016,1352,144,71,142,23,132,127,105,21,17,18,41,39,51,97,292,26,6
4616,0,15-74,Sysselsatte,2017,1346,156,74,131,22,140,114,98,15,14,15,41,37,60,99,286,32,12
4616,0,15-74,Sysselsatte,2018,1370,173,77,136,21,136,119,104,12,15,15,37,40,56,93,296,27,13
4616,0,15-74,Sysselsatte,2019,1369,166,83,132,23,128,110,103,16,17,14,45,41,52,90,298,39,12
4616,0,55-66,Sysselsatte,2008,335,32,10,24,5,18,31,38,3,8,9,5,5,24,30,88,5,0
4616,0,55-66,Sysselsatte,2009,334,32,11,25,8,20,34,33,3,7,6,6,5,27,32,80,5,0
4616,0,55-66,Sysselsatte,2010,328,28,12,19,6,18,36,27,3,6,3,10,4,26,32,87,8,3
4616,0,55-66,Sysselsatte,2011,333,30,10,19,10,19,36,30,0,7,6,9,3,24,36,85,6,3
4616,0,55-66,Sysselsatte,2012,331,31,14,22,7,20,36,28,3,7,6,10,3,22,32,82,8,0
4616,0,55-66,Sysselsatte,2013,317,30,14,22,7,18,34,30,0,3,3,10,3,19,30,82,9,3
4616,0,55-66,Sysselsatte,2014,325,38,12,24,6,23,30,27,0,3,6,9,4,16,30,80,11,6
4616,0,55-66,Sysselsatte,2015,298,39,10,20,8,30,26,19,3,3,3,5,4,14,27,75,7,5
4616,0,55-66,Sysselsatte,2016,294,38,11,25,6,27,25,21,3,0,3,8,6,16,28,67,7,3
4616,0,55-66,Sysselsatte,2017,305,37,13,26,7,30,23,26,3,3,0,9,6,17,30,64,8,3
4616,0,55-66,Sysselsatte,2018,292,42,14,27,6,28,21,23,0,3,3,6,6,14,28,61,7,3
4616,0,55-66,Sysselsatte,2019,298,40,15,28,6,21,21,22,0,6,6,11,8,9,26,66,10,3
4616,0,67-74,Sysselsatte,2008,37,12,0,3,0,3,6,4,0,0,0,0,0,0,0,3,3,3
4616,0,67-74,Sysselsatte,2009,38,12,0,3,0,0,3,3,0,0,3,3,0,0,0,5,3,3
4616,0,67-74,Sysselsatte,2010,41,10,0,3,0,0,3,3,0,0,3,3,0,3,3,4,3,3
4616,0,67-74,Sysselsatte,2011,46,12,0,6,0,0,3,3,0,0,0,3,3,3,0,7,6,0
4616,0,67-74,Sysselsatte,2012,50,12,0,5,3,3,4,4,0,0,3,3,0,3,0,7,0,3
4616,0,67-74,Sysselsatte,2013,53,13,0,3,3,3,3,6,0,0,3,3,3,0,3,7,0,3
4616,0,67-74,Sysselsatte,2014,50,12,0,3,3,3,5,6,0,3,0,3,0,3,3,3,0,3
4616,0,67-74,Sysselsatte,2015,47,10,0,0,0,0,3,8,0,0,3,4,0,6,0,5,0,8
4616,0,67-74,Sysselsatte,2016,61,8,0,0,0,5,9,7,3,3,0,4,0,3,3,13,0,3
4616,0,67-74,Sysselsatte,2017,64,14,0,0,3,6,6,5,0,0,0,3,0,6,3,12,0,6
4616,0,67-74,Sysselsatte,2018,84,17,0,0,0,10,6,10,3,3,3,4,3,3,0,15,0,7
4616,0,67-74,Sysselsatte,2019,75,21,0,0,4,7,7,10,0,0,0,3,3,3,0,11,0,6
4617,0,15-74,Sysselsatte,2008,6769,401,152,1425,114,533,731,339,163,57,74,209,107,243,489,1517,182,33
4617,0,15-74,Sysselsatte,2009,6679,379,157,1330,121,557,734,334,165,51,70,193,130,263,499,1500,164,32
4617,0,15-74,Sysselsatte,2010,6599,363,205,1149,124,554,796,332,156,56,71,198,116,260,513,1499,167,40
4617,0,15-74,Sysselsatte,2011,6601,372,213,1102,123,550,811,321,133,52,61,210,109,287,501,1553,174,29
4617,0,15-74,Sysselsatte,2012,6519,345,231,1203,115,535,730,254,123,69,52,223,146,267,497,1542,160,27
4617,0,15-74,Sysselsatte,2013,6485,338,239,1124,113,528,767,258,140,66,47,245,155,282,519,1481,149,34
4617,0,15-74,Sysselsatte,2014,6494,331,238,1079,116,543,786,315,142,60,44,231,140,297,509,1482,156,25
4617,0,15-74,Sysselsatte,2015,6300,338,219,905,141,536,760,282,118,63,41,218,135,273,508,1546,152,65
4617,0,15-74,Sysselsatte,2016,6190,356,195,855,132,536,736,231,132,62,30,209,148,271,489,1594,145,69
4617,0,15-74,Sysselsatte,2017,6282,371,199,854,133,565,748,266,147,64,26,234,169,279,493,1526,153,55
4617,0,15-74,Sysselsatte,2018,6337,365,206,1029,104,591,637,293,145,74,31,226,208,207,481,1531,156,53
4617,0,15-74,Sysselsatte,2019,6417,366,228,1040,102,594,619,289,147,71,26,228,200,225,495,1580,157,50
4617,0,55-66,Sysselsatte,2008,1298,115,22,234,29,86,85,76,20,14,28,38,17,70,130,299,26,9
4617,0,55-66,Sysselsatte,2009,1331,107,26,231,31,92,89,85,17,14,29,42,17,71,130,316,27,7
4617,0,55-66,Sysselsatte,2010,1332,96,29,216,28,83,93,72,19,17,27,46,20,74,141,330,29,12
4617,0,55-66,Sysselsatte,2011,1352,95,34,204,32,82,96,70,18,18,22,51,17,81,151,340,28,13
4617,0,55-66,Sysselsatte,2012,1376,91,37,231,27,78,87,65,20,18,19,56,17,81,151,354,33,11
4617,0,55-66,Sysselsatte,2013,1389,84,43,233,26,81,95,69,15,15,16,66,20,80,152,350,34,10
4617,0,55-66,Sysselsatte,2014,1399,78,42,233,29,87,97,82,18,15,14,59,18,94,144,341,41,7
4617,0,55-66,Sysselsatte,2015,1364,90,44,192,35,81,103,77,17,12,12,57,26,81,134,345,34,24
4617,0,55-66,Sysselsatte,2016,1316,89,42,200,34,80,103,63,16,11,8,41,26,73,121,349,33,27
4617,0,55-66,Sysselsatte,2017,1344,100,37,203,40,85,106,69,17,11,8,51,25,71,132,337,37,15
4617,0,55-66,Sysselsatte,2018,1328,81,46,228,35,91,94,68,16,7,8,59,38,48,114,340,41,14
4617,0,55-66,Sysselsatte,2019,1356,93,50,236,32,97,100,64,14,7,8,57,40,49,108,342,42,17
4617,0,67-74,Sysselsatte,2008,154,33,0,14,4,18,17,9,3,0,0,6,3,0,3,30,11,3
4617,0,67-74,Sysselsatte,2009,171,35,0,13,5,14,16,8,3,0,0,10,0,6,3,38,14,6
4617,0,67-74,Sysselsatte,2010,152,31,0,13,3,14,17,10,0,3,0,6,0,3,7,30,12,3
4617,0,67-74,Sysselsatte,2011,175,27,0,18,3,21,22,14,3,0,3,4,0,6,6,35,10,3
4617,0,67-74,Sysselsatte,2012,190,45,0,17,3,20,20,9,3,3,0,10,3,3,8,32,11,3
4617,0,67-74,Sysselsatte,2013,202,46,0,16,3,22,19,9,3,3,0,13,0,4,10,36,11,7
4617,0,67-74,Sysselsatte,2014,205,44,0,13,3,26,16,9,3,0,0,18,3,11,10,29,14,6
4617,0,67-74,Sysselsatte,2015,220,43,0,10,4,25,18,12,0,3,0,13,3,8,10,43,12,16
4617,0,67-74,Sysselsatte,2016,232,44,0,14,4,24,15,12,3,3,0,18,6,13,10,41,11,14
4617,0,67-74,Sysselsatte,2017,250,49,4,16,4,25,15,10,6,3,0,21,3,11,8,48,11,16
4617,0,67-74,Sysselsatte,2018,244,43,3,19,4,26,15,18,3,3,0,21,8,3,3,47,11,17
4617,0,67-74,Sysselsatte,2019,240,36,0,20,3,20,12,15,3,3,0,19,9,6,8,56,13,17
1228,0,15-74,Sysselsatte,2008,3577,45,51,839,105,292,388,134,110,51,26,132,84,109,242,839,115,15
1228,0,15-74,Sysselsatte,2009,3528,44,55,801,104,283,372,125,87,48,20,150,89,119,246,874,98,13
1228,0,15-74,Sysselsatte,2010,3479,50,70,771,106,293,378,115,93,51,23,153,60,117,238,852,92,17
1228,0,15-74,Sysselsatte,2011,3449,46,73,774,107,305,375,116,96,46,15,158,76,116,229,821,87,9
1228,0,15-74,Sysselsatte,2012,3501,46,76,810,106,293,344,114,85,39,15,160,89,115,215,886,92,16
1228,0,15-74,Sysselsatte,2013,3458,43,79,785,105,295,347,116,102,40,18,157,78,112,225,856,88,12
1228,0,15-74,Sysselsatte,2014,3450,50,91,758,105,312,348,116,96,39,18,155,84,109,222,849,86,12
1228,0,15-74,Sysselsatte,2015,3351,41,84,723,105,320,329,115,91,31,15,147,71,109,245,816,86,23
1228,0,15-74,Sysselsatte,2016,3341,37,84,655,109,328,337,122,98,27,9,154,58,116,248,853,83,23
1228,0,15-74,Sysselsatte,2017,3371,45,71,678,101,353,323,115,104,28,9,156,90,104,243,858,79,14
1228,0,15-74,Sysselsatte,2018,3358,47,77,708,101,334,329,112,114,35,6,164,91,124,225,794,79,18
1228,0,15-74,Sysselsatte,2019,3350,36,90,743,109,326,315,118,111,22,12,157,77,119,227,807,71,10
1228,0,55-66,Sysselsatte,2008,695,9,5,148,29,49,62,30,5,12,10,36,21,37,68,149,20,5
1228,0,55-66,Sysselsatte,2009,714,13,4,141,31,48,63,33,7,13,11,39,19,40,67,162,19,4
1228,0,55-66,Sysselsatte,2010,692,11,5,140,29,56,59,31,7,14,10,32,11,37,65,161,19,5
1228,0,55-66,Sysselsatte,2011,719,8,9,153,29,53,58,35,8,15,5,40,10,41,67,164,18,6
1228,0,55-66,Sysselsatte,2012,764,10,13,180,29,59,61,35,7,17,6,37,10,36,70,171,17,6
1228,0,55-66,Sysselsatte,2013,767,10,10,177,31,56,61,36,7,15,7,38,12,37,66,184,17,3
1228,0,55-66,Sysselsatte,2014,783,14,12,175,33,57,67,33,6,15,7,45,14,33,66,186,17,3
1228,0,55-66,Sysselsatte,2015,797,13,10,180,37,58,61,31,12,12,8,45,10,35,72,191,14,8
1228,0,55-66,Sysselsatte,2016,796,14,11,166,38,68,66,32,14,12,3,44,8,38,76,184,15,7
1228,0,55-66,Sysselsatte,2017,797,13,12,178,31,65,60,28,9,9,3,43,13,40,74,197,14,8
1228,0,55-66,Sysselsatte,2018,798,14,12,187,33,62,55,29,12,10,3,45,13,36,72,191,16,8
1228,0,55-66,Sysselsatte,2019,783,14,11,190,39,57,49,33,11,8,3,44,10,37,65,197,11,4
1228,0,67-74,Sysselsatte,2008,68,7,0,3,0,8,3,4,3,0,0,3,3,0,7,24,3,0
1228,0,67-74,Sysselsatte,2009,96,5,0,7,0,9,8,5,3,3,0,8,7,3,7,28,3,0
1228,0,67-74,Sysselsatte,2010,96,10,0,6,0,10,10,3,0,0,0,10,3,3,4,31,3,3
1228,0,67-74,Sysselsatte,2011,93,7,0,8,3,12,9,3,0,0,0,8,3,0,8,26,6,0
1228,0,67-74,Sysselsatte,2012,96,6,0,13,0,9,8,6,3,0,0,9,3,0,0,29,3,7
1228,0,67-74,Sysselsatte,2013,100,11,0,9,0,15,6,6,3,0,0,5,3,0,7,26,3,6
1228,0,67-74,Sysselsatte,2014,105,13,0,8,0,16,8,11,3,0,0,5,4,3,7,21,3,3
1228,0,67-74,Sysselsatte,2015,81,7,0,3,0,14,3,11,0,0,0,5,0,4,6,16,3,9
1228,0,67-74,Sysselsatte,2016,94,5,5,7,0,6,0,20,0,0,0,8,0,4,7,23,3,6
1228,0,67-74,Sysselsatte,2017,99,9,0,4,3,9,3,17,6,0,0,9,7,0,4,22,3,3
1228,0,67-74,Sysselsatte,2018,94,7,0,6,0,7,3,17,3,0,0,11,5,3,7,18,3,4
1228,0,67-74,Sysselsatte,2019,115,7,0,9,3,11,6,16,5,0,0,11,7,3,8,23,3,3
4618,0,15-74,Sysselsatte,2008,1837,210,44,206,41,249,177,89,94,14,27,99,35,75,125,287,55,10
4618,0,15-74,Sysselsatte,2009,1813,208,43,204,36,247,156,78,86,15,27,98,38,79,129,300,56,13
4618,0,15-74,Sysselsatte,2010,1827,184,51,184,36,262,170,76,77,17,26,105,41,80,136,316,47,19
4618,0,15-74,Sysselsatte,2011,1799,166,55,185,33,259,167,72,101,13,24,95,43,81,131,310,51,13
4618,0,15-74,Sysselsatte,2012,1745,139,58,178,40,244,166,65,91,13,24,104,45,78,126,312,51,11
4618,0,15-74,Sysselsatte,2013,1734,132,60,178,39,229,153,71,95,14,18,113,42,77,132,318,51,12
4618,0,15-74,Sysselsatte,2014,1766,129,60,181,40,236,153,73,97,11,13,118,47,75,122,350,52,9
4618,0,15-74,Sysselsatte,2015,1707,134,57,174,48,220,138,63,88,15,12,107,47,67,120,358,42,17
4618,0,15-74,Sysselsatte,2016,1665,124,48,159,46,222,149,65,93,15,10,108,36,72,132,324,45,17
4618,0,15-74,Sysselsatte,2017,1687,129,44,163,44,225,149,64,91,16,6,108,40,70,140,334,50,14
4618,0,15-74,Sysselsatte,2018,1683,117,48,171,44,234,136,59,86,12,9,103,46,77,137,329,53,22
4618,0,15-74,Sysselsatte,2019,1691,134,54,151,37,244,142,54,80,12,9,96,45,78,140,345,56,14
4618,0,55-66,Sysselsatte,2008,415,80,5,39,10,42,37,24,9,3,7,13,12,25,34,62,6,7
4618,0,55-66,Sysselsatte,2009,415,72,6,37,13,47,32,23,8,3,8,17,10,23,38,63,8,7
4618,0,55-66,Sysselsatte,2010,400,69,7,29,10,54,26,26,8,3,8,19,8,26,34,63,5,5
4618,0,55-66,Sysselsatte,2011,386,66,9,28,8,55,26,22,7,3,8,18,6,24,32,60,11,3
4618,0,55-66,Sysselsatte,2012,384,55,8,36,10,55,24,18,6,3,8,20,7,19,31,64,12,8
4618,0,55-66,Sysselsatte,2013,374,45,8,35,9,56,26,17,6,3,7,17,4,22,29,72,15,3
4618,0,55-66,Sysselsatte,2014,382,43,9,38,8,54,27,21,8,0,3,16,6,20,23,86,17,3
4618,0,55-66,Sysselsatte,2015,397,47,10,39,6,55,27,21,7,3,3,14,9,20,24,91,17,4
4618,0,55-66,Sysselsatte,2016,379,39,8,41,8,59,27,19,8,3,0,17,4,16,26,84,17,3
4618,0,55-66,Sysselsatte,2017,390,39,8,44,13,54,22,24,7,0,0,18,9,17,30,85,17,3
4618,0,55-66,Sysselsatte,2018,393,31,9,49,8,53,24,24,3,3,3,22,9,14,28,89,16,8
4618,0,55-66,Sysselsatte,2019,400,39,10,48,6,53,26,21,3,3,3,21,12,16,30,88,18,3
4618,0,67-74,Sysselsatte,2008,71,27,0,0,0,5,11,3,6,0,0,3,3,0,0,13,0,0
4618,0,67-74,Sysselsatte,2009,81,29,0,0,0,7,13,4,6,0,0,4,0,0,3,9,3,3
4618,0,67-74,Sysselsatte,2010,73,26,0,0,0,7,11,3,3,0,0,6,0,0,3,11,0,3
4618,0,67-74,Sysselsatte,2011,76,27,0,0,0,7,9,3,3,0,3,3,3,3,3,9,0,3
4618,0,67-74,Sysselsatte,2012,76,31,0,0,3,6,9,3,4,0,0,3,0,0,4,10,3,0
4618,0,67-74,Sysselsatte,2013,99,36,0,3,3,7,6,10,8,0,0,5,3,0,3,9,3,3
4618,0,67-74,Sysselsatte,2014,100,35,0,3,0,14,6,6,9,0,0,9,0,0,3,12,0,3
4618,0,67-74,Sysselsatte,2015,95,32,0,3,0,8,6,7,11,0,0,4,3,0,0,11,0,10
4618,0,67-74,Sysselsatte,2016,101,34,3,3,0,11,3,5,9,0,0,9,0,0,3,7,3,11
4618,0,67-74,Sysselsatte,2017,101,33,0,3,0,14,6,6,9,3,0,3,0,0,3,13,0,8
4618,0,67-74,Sysselsatte,2018,100,22,0,3,0,20,6,4,6,0,0,3,6,3,0,12,4,11
4618,0,67-74,Sysselsatte,2019,102,29,0,4,0,18,7,5,7,0,0,0,0,3,0,16,6,7
